important, crucial, vital, essential, significant
hear, listen, perceive, detect, catch
speak, talk, converse, communicate, articulate
write, compose, record, inscribe, draft
read, peruse, browse, study, scan
walk, stroll, wander, hike, march
run, sprint, jog, race, dash
sit, rest, perch, settle, squat
stand, rise, unright, get up, straighten
eat, consume, devour, ingest, munch
drink, sip, gulp, swallow, imbibe
sleep, nap, slumber, doze, rest
wake, arise, get up, awaken, stir
buy, purchase, acquire, obtain, procure
sell, trade, market, offer, exchange
build, construct, assemble, erect, create
break, shatter, crack, smash, ruin
repair, fix, mend, restore, rebuild
open, unlock, uncover, expose, reveal
close, shut, seal, conclude, finish
win, triumph, succeed, prevail, conquer
lose, fail, miss, fall, surrender
teach, educate, instruct, train, tutor
learn, study, acquire, understand, master
grow, expand, develop, increase, rise
shrink, decrease, contract, diminish, lessen
love, adore, cherish, treasure, care for
hate, dislike, loathe, detest, despise
live, reside, inhabit, dwell, exist
die, pass away, decease, perish, expire
travel, journey, tour, voyage, explore
stay, remain, reside, dwell, settle
work, labor, operate, perform, function
play, frolic, amuse, entertain, engage
need, require, demand, necessitate, crave
want, desire, wish, long for, yearn
try, attempt, endeavor, strive, seek
use utilize, employ, apply, operate
forget, overlook, omit, disregard, neglect
remember, recall, recollect, retain, reminisce
believe, trust, accept, assume, suppose
doubt, distrust, suspect, question, disbelieve
change, alter, modify, adjust, transform
agree, consent, approve, accept, concur
disagree, oppose, object, differ, Contradict
allow, permit, enable, authorize, approve
forbid, ban, prohibit, restrict, disallow
arrive, reach, come, enter, show up
depart, leave, exit, go away, withdraw
support, assist, help, encourage, advocate
oppose, resist, confront, challenge, dispute
plan, organize, schedule, prepare, arrange
cancel, abort, call off, withdraw, terminate
protect, guard, defend, shield, safeguard
attack, assault, strike, ambush, aggress
save, conserve, store, preserve, rescue
waste, squander, misuse, dissipate, throw away
lead, guide, direct, conduct, command
follow, obey, chase, adhere, pursue
join, connect, link, combine, unite
separate, divide, split, isolate, detach
accept, receive, take, embrace, admit
reject, refuse, decline, deny, dismiss
create, generate, produce, develop, form
destroy, ruin, demolish, eliminate, 2*annihilate*
cover, wrap, hide, protect, enclose
reveal, show, uncover, disclose, expose
increase, grow, multiply, expand, amplify
reduce, lower, cut, decrease, shrink
raise, lift, elevate, boost, uplift
fall, drop, decline, sink, plummet
buy, acquire, procure, obtain, purchase
steal, rob, burgle, snatch, loot
fix, repair, restore, adjust, mend
break, fracture, damage, shatter, crack
find, discover, detect, locate, identify
lose, misplace, forfeit, drop, miss
give, offer, provide, donate, grant
take, grab, seize, receive, acquire
grow, expand, enlarge, increase, flourish
decline, decrease, weaken, diminish, fall
start, begin, initiate, launch, commence
finish, complete, end, conclude, finalize
explain, clarify, describe, illustrate, define
confuse, puzzle, perplex, bewilder, baffle
cry, weep, sob, mourn, shed tears
laugh, giggle, chuckle, snicker, roar
win, succeed, triumph, prevail, overcome
fail, lose, fall, collapse, flop
get, acquire, receive, obtain, gain
give up, surrender, quit, abandon, relinquish
come, arrive, approach, enter, appear
go, leave, depart, exit, move
develop, advance, improve, evolve, expand
prevent, stop, avoid, hinder, block
cause, trigger, lead to, generate, result in
effect, outcome, result, impact, consequence
danger, risk, hazard, threat, peril
safety, security, protection, care, shelter
opinion, view, thought, belief, perspective
idea, concept, notion, thought, insight
method, technique, approach, strategy, process
problem, issue, difficulty, complication, challenge
solution, answer, resolution, fix, remedy
result, outcome, consequence, effect, product
reason, cause, basis, ground, motive
evidence, proof, support, data, indication
research, study, investigation, exploration, analysis
information, data, details, knowledge, facts
education, learning, schooling, instruction, teaching
student, pupil, learner, trainee, scholar
teacher, instructor, tutor, mentor, educator
school, academy, institution, college, university
job, work, occupation, profession, career
company, business, firm, enterprise, organization
manager, director, boss, executive, administrator
employee, worker, staff, assistant, personnel
salary, wage, income, earnings, pay
meeting, gathering, conference, session, assembly
transport, travel, transit, movement, conveyance
car, vehicle, automobile, transport, motorcar
train, railway, locomotive, transit, carriage
plane, aircraft, jet, airliner, aeroplane
travel, journey, tour, trip, expedition
trip, excursion, outing, voyage, getaway
home, house, residence, dwelling, apartment
city, town, urban area, municipality, metropolis
village, hamlet, countryside, rural area, settlement
market, bazaar, fair, store, trade place
shop, store, outlet, stall, boutique
food, meal, dish, cuisine, nutrition
drink, beverage, refreshment, fluid, liquid
water, H2O, liquid, freshwater, drink
health, wellness, fitness, well-being, condition
disease, illness, sickness, infection, disorder
doctor, physician, medic, specialist, surgeon
hospital, clinic, medical center, infirmary, facility
environment, surroundings, nature, ecosystem, habitat
pollution, contamination, waste, impurity, dirtiness
climate, weather, atmosphere, temperature, conditions
technology, innovation, machinery, equipment, tools
internet, web, online network, cyberspace, net
computer, PC, device, machine, system
